UTC Offset,Time Zone,Country
-11:00,Pacific/Midway,United States Minor Outlying Islands
-11:00,Pacific/Niue,Niue
-11:00,Pacific/Pago_Pago,American Samoa
-10:00,America/Adak,United States
-10:00,Pacific/Honolulu,United States
-10:00,Pacific/Rarotonga,Cook Islands
-10:00,Pacific/Tahiti,French Polynesia
-9:30,Pacific/Marquesas,French Polynesia
-9:00,America/Anchorage,United States
-9:00,America/Juneau,United States
-9:00,America/Metlakatla,United States
-9:00,America/Nome,United States
-9:00,America/Sitka,United States
-9:00,America/Yakutat,United States
-9:00,Pacific/Gambier,French Polynesia
-8:00,America/Los_Angeles,United States
-8:00,America/Tijuana,Mexico
-8:00,America/Vancouver,Canada
-8:00,Pacific/Pitcairn,Pitcairn
-7:00,America/Boise,United States
-7:00,America/Cambridge_Bay,Canada
-7:00,America/Ciudad_Juarez,Mexico
-7:00,America/Creston,Canada
-7:00,America/Dawson,Canada
-7:00,America/Dawson_Creek,Canada
-7:00,America/Denver,United States
-7:00,America/Edmonton,Canada
-7:00,America/Fort_Nelson,Canada
-7:00,America/Hermosillo,Mexico
-7:00,America/Inuvik,Canada
-7:00,America/Mazatlan,Mexico
-7:00,America/Phoenix,United States
-7:00,America/Whitehorse,Canada
-7:00,America/Yellowknife,Canada
-6:00,America/Bahia_Banderas,Mexico
-6:00,America/Belize,Belize
-6:00,America/Chicago,United States
-6:00,America/Chihuahua,Mexico
-6:00,America/Costa_Rica,Costa Rica
-6:00,America/El_Salvador,El Salvador
-6:00,America/Guatemala,Guatemala
-6:00,America/Indiana/Knox,United States
-6:00,America/Indiana/Tell_City,United States
-6:00,America/Managua,Nicaragua
-6:00,America/Matamoros,Mexico
-6:00,America/Menominee,United States
-6:00,America/Merida,Mexico
-6:00,America/Mexico_City,Mexico
-6:00,America/Monterrey,Mexico
-6:00,America/North_Dakota/Beulah,United States
-6:00,America/North_Dakota/Center,United States
-6:00,America/North_Dakota/New_Salem,United States
-6:00,America/Ojinaga,Mexico
-6:00,America/Rankin_Inlet,Canada
-6:00,America/Regina,Canada
-6:00,America/Resolute,Canada
-6:00,America/Swift_Current,Canada
-6:00,America/Tegucigalpa,Honduras
-6:00,America/Winnipeg,Canada
-6:00,Pacific/Easter,Chile
-6:00,Pacific/Galapagos,Ecuador
-5:00,America/Atikokan,Canada
-5:00,America/Bogota,Colombia
-5:00,America/Cancun,Mexico
-5:00,America/Cayman,Cayman Islands
-5:00,America/Detroit,United States
-5:00,America/Eirunepe,Brazil
-5:00,America/Grand_Turk,Turks and Caicos Islands
-5:00,America/Guayaquil,Ecuador
-5:00,America/Havana,Cuba
-5:00,America/Indiana/Indianapolis,United States
-5:00,America/Indiana/Marengo,United States
-5:00,America/Indiana/Petersburg,United States
-5:00,America/Indiana/Vevay,United States
-5:00,America/Indiana/Vincennes,United States
-5:00,America/Indiana/Winamac,United States
-5:00,America/Iqaluit,Canada
-5:00,America/Jamaica,Jamaica
-5:00,America/Kentucky/Louisville,United States
-5:00,America/Kentucky/Monticello,United States
-5:00,America/Lima,Peru
-5:00,America/Nassau,Bahamas
-5:00,America/New_York,United States
-5:00,America/Panama,Panama
-5:00,America/Port-au-Prince,Haiti
-5:00,America/Rio_Branco,Brazil
-5:00,America/Toronto,Canada
-4:00,America/Anguilla,Anguilla
